날짜,삼성전자,LG에너지솔루션,SK하이닉스,삼성바이오로직스,삼성SDI,LG화학,삼성전자우,현대차,POSCO홀딩스,기아
2023-04-03,63100,586000,87200,778000,745000,712000,53800,183600,392000,81200
2023-04-04,63600,575000,84500,788000,726000,722000,53700,183800,367000,80100
2023-04-05,63900,588000,84600,788000,778000,732000,53800,186700,373500,81300
2023-04-06,62300,580000,83800,805000,745000,716000,53100,185100,362500,81000
2023-04-07,65000,580000,89100,796000,738000,714000,54800,185100,369500,80100
2023-04-10,65700,596000,90700,803000,749000,750000,55800,185900,398500,81000
2023-04-11,65900,610000,91800,812000,767000,806000,55300,192100,397000,85000
2023-04-12,66000,590000,90300,800000,764000,775000,55600,198200,406500,86100
2023-04-13,66100,599000,88700,815000,769000,802000,55000,198900,391500,86600
2023-04-14,65100,594000,89300,817000,762000,802000,55200,196100,416000,85300
2023-04-17,65300,591000,88500,812000,755000,805000,55700,195000,423500,84500
2023-04-18,65600,592000,87600,793000,766000,825000,55700,191400,414500,82700
2023-04-19,65500,582000,88200,788000,758000,790000,55500,193600,412000,85400
2023-04-20,65300,580000,87700,785000,749000,800000,54800,192500,409500,84100
2023-04-21,65700,572000,89100,785000,734000,771000,55700,190400,396000,83300
2023-04-24,65200,566000,87200,797000,726000,767000,55200,191900,398500,84700
2023-04-25,63600,551000,85500,786000,706000,742000,53700,201000,379500,86600
