변환,원자료
2007/01,700256.6
2007/02,708048.2
2007/03,717066.5
2007/04,728294.8
2007/05,735674.4
2007/06,747823.0
2007/07,755114.0
2007/08,764660.6
2007/09,777069.8
2007/10,790358.7
2007/11,807189.4
2007/12,803724.1
2008/01,815649.1
2008/02,822528.9
2008/03,833537.3
2008/04,849091.3
2008/05,858336.1
2008/06,870377.1
2008/07,883185.6
2008/08,891376.3
2008/09,900567.8
2008/10,913084.4
2008/11,920259.6
2008/12,917110.1
2009/01,921674.4
2009/02,926602.2
2009/03,934597.3
2009/04,940529.8
2009/05,943796.4
2009/06,947207.9
2009/07,950708.7
2009/08,956229.6
2009/09,958578.1
2009/10,958048.5
2009/11,963885.1
2009/12,953505.2
2010/01,955782.2
2010/02,958052.8
2010/03,962695.9
2010/04,967784.2
2010/05,974047.5
2010/06,975225.8
2010/07,978910.0
2010/08,978486.6
2010/09,983395.2
2010/10,991773.6
2010/11,997054.2
2010/12,987148.1
2011/01,993802.1
2011/02,1001239.2
2011/03,1008342.8
2011/04,1020032.7
2011/05,1027141.8
2011/06,1028822.5
2011/07,1036406.5
2011/08,1042136.7
2011/09,1052250.8
2011/10,1064421.3
2011/11,1071358.2
2011/12,1063192.5
2012/01,1066592.2
2012/02,1069053.8
2012/03,1070385.9
2012/04,1076282.8
2012/05,1080860.2
2012/06,1083714.2
2012/07,1085112.3
2012/08,1089617.2
2012/09,1096901.7
2012/10,1102654.7
2012/11,1105898.1
2012/12,1099781.8
2013/01,1099778.9
2013/02,1101851.1
2013/03,1104331.3
2013/04,1110645.3
2013/05,1116788.7
2013/06,1125805.5
2013/07,1129168.6
2013/08,1135486.7
2013/09,1141771.1
2013/10,1151207.5
2013/11,1161013.7
2013/12,1154760.3
2014/01,1162583.6
2014/02,1169134.7
2014/03,1171776.1
2014/04,1183768.4
2014/05,1192150.7
2014/06,1197252.1
2014/07,1203371.5
2014/08,1212151.8
2014/09,1220907.4
2014/10,1235268.5
2014/11,1244462.8
2014/12,1250103.3
2015/01,1258300.9
2015/02,1267564.3
2015/03,1273076.7
2015/04,1287415.5
2015/05,1292675.9
2015/06,1283772.4
2015/07,1289200.9
2015/08,1302653.4
2015/09,1314440.9
2015/10,1333439.5
2015/11,1344168.1
2015/12,1346815.8
2016/01,1353670.7
2016/02,1357222.6
2016/03,1361310.2
2016/04,1372906.9
2016/05,1382525.0
2016/06,1387028.0
2016/07,1398400.5
2016/08,1407014.0
2016/09,1414232.0
2016/10,1425102.2
2016/11,1435777.7
2016/12,1424149.2
2017/01,1429377.3
2017/02,1433627.6
2017/03,1435859.5
2017/04,1445219.3
2017/05,1450375.7
2017/06,1453379.5
2017/07,1464168.8
2017/08,1472669.7
2017/09,1482459.0
2017/10,1494961.4
2017/11,1505855.2
2017/12,1504333.3
2018/01,1512963.2
2018/02,1518460.8
2018/03,1525815.4
2018/04,1534255.8
2018/05,1543469.7
2018/06,1546960.3
2018/07,1556221.9
2018/08,1568274.0
2018/09,1577303.4
2018/10,1590110.4
2018/11,1602332.9
2018/12,1600280.5
2019/01,1607666.5
2019/02,1614141.4
2019/03,1617556.6
2019/04,1627414.0
2019/05,1637077.7
2019/06,1643100.4
2019/07,1648646.7
2019/08,1659345.1
2019/09,1669791.4
2019/10,1687139.0
2019/11,1700073.0
2019/12,1698612.9
2020/01,1708763.3
2020/02,1717155.8
2020/03,1746398.9
2020/04,1779351.1
2020/05,1799569.0
2020/06,1805731.6
2020/07,1819923.2
2020/08,1837915.6
2020/09,1852162.6
2020/10,1873103.1
2020/11,1893044.7
2020/12,1893716.2
2021/01,1911098.6
2021/02,1926681.1
2021/03,1937175.1
2021/04,1960962.0
2021/05,1963575.1
2021/06,1971439.5
2021/07,1992402.0
2021/08,2005346.5
2021/09,2020839.2
2021/10,2037461.7
2021/11,2050751.0
2021/12,2050701.6
2022/01,2062119.2
2022/02,2066672.9
2022/03,2074329.4
2022/04,2087389.2
2022/05,2102225.0
2022/06,2110428.8
2022/07,2121837.3
2022/08,2130684.5
2022/09,2140254.9
2022/10,2158295.5
2022/11,2173145.2
2022/12,2165861.1
2023/01,2168698.3
2023/02,2170233.0
